timestamp,temperature_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_direction_deg,cloud_cover_pct,solar_radiation_wm2,precipitation_mm,dew_point_c,visibility_km,soil_moisture_pct,uv_index,feels_like_c,target_temperature_6h_c
2023-01-01 00,23.9572,96.2405,1010.2277,2.3424,110.0,61.1763,4.945,0.0,23.321,16.3343,46.0,0.0,24.9668,24.2328
2023-01-01 01,23.7844,94.3028,1010.3044,2.1672,104.8533,49.9464,0.0,0.0,22.813,15.8698,45.7561,0.0,24.0902,26.5767
2023-01-01 02,23.4732,89.0114,1011.9373,2.8572,92.2816,41.3675,0.1392,0.0,21.5569,18.3136,45.5025,0.0186,23.8338,27.1729
2023-01-01 03,22.8376,95.6453,1012.4235,2.2598,99.1539,55.3739,14.9508,0.0,22.1049,18.2368,45.3322,0.2745,23.2009,26.9674
2023-01-01 04,23.7423,92.4213,1012.3489,2.0029,99.1621,47.718,5.2828,0.0,22.4392,16.9622,45.0535,0.0,24.4393,27.4036
2023-01-01 05,24.3418,92.236,1012.4936,,84.1229,38.1872,0.0,0.0,22.9997,,45.0795,0.2701,25.0038,28.4509
2023-01-01 06,24.2328,,1011.6663,3.0046,83.374,66.578,0.1214,1.418,23.8419,14.8177,45.8453,0.3956,24.5877,28.3246
2023-01-01 07,26.5767,82.2435,1011.8611,1.7903,81.3255,42.4109,174.331,0.0,23.2996,19.0946,45.5076,1.5154,26.8675,28.3544
2023-01-01 08,27.1729,84.5364,1012.0412,3.4331,69.5481,48.0808,275.7894,0.0,24.3395,17.1714,45.1575,2.8959,27.4725,28.7826
2023-01-01 09,26.9674,86.3337,1010.7253,2.7903,65.6893,64.8672,396.0213,1.487,24.4894,18.3023,45.5479,3.8768,27.2908,29.0619
2023-01-01 10,27.4036,84.8066,,3.4697,68.4215,68.835,392.6118,0.092,24.6187,18.5735,45.1954,3.6342,27.8526,27.856
2023-01-01 11,28.4509,85.0527,1010.8264,1.3887,79.2078,33.4157,781.303,0.0,25.6935,18.7873,44.5884,7.3049,28.8394,28.6659
2023-01-01 12,28.3246,83.9979,1010.3207,2.3196,76.5105,60.0943,557.0488,0.0,25.3596,18.6546,44.0681,5.4823,28.5711,27.8167
2023-01-01 13,28.3544,89.3333,1005.8393,3.7081,51.173,80.9926,354.6803,0.0,26.4287,16.0456,43.4808,3.427,28.651,27.4424
2023-01-01 14,28.7826,86.9367,1006.6707,1.6625,50.4878,89.3399,290.1603,0.0,26.3892,18.7167,43.1412,2.7296,29.8129,26.4129
2023-01-01 15,29.0619,80.7429,1008.1779,2.0329,41.0498,45.072,469.9109,0.0,25.4143,17.4067,42.5797,4.4448,29.335,25.1626
2023-01-01 16,27.856,89.239,1006.1829,2.4566,28.482,89.5581,146.8444,0.044,25.9195,17.5375,42.1592,0.9665,28.7205,26.281
2023-01-01 17,28.6659,83.7088,1007.5456,1.4586,,54.825,188.7672,0.0,25.6354,19.859,41.8507,1.9158,29.3053,25.9437
2023-01-01 18,27.8167,91.0232,1005.7354,2.5864,59.9922,95.1947,0.0,0.122,26.2154,17.3016,41.5971,0.0,28.2307,25.2837
2023-01-01 19,27.4424,85.1314,1006.8567,1.8568,57.5596,61.8693,58.301,0.0,24.7207,17.0506,41.2235,0.4707,28.0987,24.9348
2023-01-01 20,26.4129,87.8924,1007.0667,1.51,40.1562,92.8683,14.2381,0.0,24.2431,17.1031,40.8899,0.2037,27.3882,24.033
2023-01-01 21,25.1626,95.0037,1006.3844,4.7265,33.7279,79.0558,18.162,3.977,24.3047,12.7859,43.4711,0.61,25.6721,23.9111
2023-01-01 22,26.281,87.0973,1008.8965,1.1938,40.5843,52.369,0.0,0.0,23.9619,17.0478,43.3576,0.0501,27.0516,24.0094
2023-01-01 23,25.9437,90.7517,1008.7022,1.6942,34.7552,65.8278,0.0,0.0,24.3145,15.469,43.1215,0.0291,26.4374,24.064
2023-01-02 00,25.2837,90.6849,1008.8182,1.315,37.0101,61.2862,0.0,0.0,23.6502,17.9591,42.9219,0.4069,26.1525,23.7916
2023-01-02 01,24.9348,88.0273,1009.909,1.0575,32.5415,26.0113,0.0,0.0,22.8139,18.4279,42.6755,0.1858,25.7199,23.9494
2023-01-02 02,24.033,,1010.0663,3.108,33.9794,52.2234,39.6838,0.0,23.0938,17.0123,42.6087,0.0,24.6177,24.4273
2023-01-02 03,23.9111,87.7054,1010.5269,1.7659,20.3261,15.7617,0.0,0.0,21.7463,17.2087,42.3498,0.0,24.4331,24.7791
2023-01-02 04,24.0094,87.9042,1009.9605,0.9246,14.908,25.0276,25.7401,0.0,21.8802,19.6003,42.2148,0.1698,24.4091,24.3982
2023-01-02 05,24.064,,1009.6015,0.7551,16.958,10.634,0.0,0.0,22.8365,17.4244,42.0495,0.0,24.9321,26.3132
2023-01-02 06,23.7916,93.9833,1008.8842,1.2279,19.3895,54.6995,19.9186,0.0,22.7642,16.0085,41.8777,0.4253,24.6997,26.2581
